word,fields,sum,brillouin
input,"{'13': 32, '6': 100, '7': 12, '3': 8, '4': 10, '2': 11, '10': 1, '22': 1, '9': 4, '12': 1}",180,0.5949211585714144
instal,"{'6': 13, '26': 1, '2': 6, '12': 3, '1': 1, '3': 4, '13': 7, '4': 7, '25': 1, '31': 3}",46,0.7553822187957719
item,"{'6': 102, '7': 56, '2': 6, '13': 71, '3': 8, '4': 17, '12': 7, '10': 2, '9': 1, '27': 1, '30': 1, '28': 1}",273,0.6715951410944238
keyword,"{'6': 37, '4': 5, '7': 8, '13': 24, '3': 2, '1': 1, '12': 1}",78,0.5273953376374424
languag,"{'6': 3, '13': 1}",4,0.15051499783199057
mine,"{'6': 23, '7': 5, '12': 1, '4': 3, '13': 21}",53,0.465146291043608
point,"{'13': 35, '6': 45, '2': 12, '12': 4, '4': 10, '3': 4, '7': 5, '25': 1, '1': 1, '9': 3, '10': 3, '5': 2}",125,0.7299655610039529
preset,"{'13': 23, '7': 3, '3': 4, '4': 2, '6': 17, '10': 2, '12': 2, '2': 1}",54,0.5803389370172648
prevent,"{'12': 1, '13': 1}",2,0.1505149978319906
process,"{'13': 19, '6': 37, '7': 4, '9': 2, '2': 8, '4': 9, '3': 5, '28': 3, '12': 1}",88,0.6743251646523536
radiolog,"{'6': 13, '13': 9, '7': 6, '10': 1, '4': 2}",31,0.49685857830317637
report,"{'6': 83, '7': 41, '13': 92, '12': 9, '4': 21, '10': 3, '11': 1, '3': 6, '2': 5}",261,0.6582444097007993
scan,"{'2': 7, '13': 25, '6': 32, '7': 10, '10': 3, '27': 1, '3': 6, '24': 1, '4': 6, '34': 1, '11': 1, '9': 2, '29': 1, '28': 1, '8': 1, '12': 1, '33': 1, '1': 1}",101,0.8149254237064455
search,"{'6': 70, '7': 25, '13': 31, '4': 11, '12': 1, '3': 3}",141,0.536985458508216
sentenc,"{'6': 42, '7': 4, '13': 27, '2': 1, '4': 2, '3': 1}",77,0.4194287506222435
